,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
266,Ahipara,0,NZ,1546575966,71,-35.17,173.16,72.23,16.82
267,Ruwi,12,OM,1546570200,82,23.6,58.55,66.2,3.36
268,Codrington,0,AU,1546574400,43,-28.95,153.24,91.4,14.99
269,Viesca,40,MX,1546570020,30,25.34,-102.81,55.4,2.62
270,Vestmanna,92,FO,1546572000,93,62.16,-7.17,48.2,9.17
271,Quthing,76,LS,1546575968,96,-30.4,27.7,55.35,2.95
272,Sibolga,80,ID,1546575968,100,1.74,98.78,70.39,1.39
273,Salmas,90,IR,1546570800,92,38.2,44.77,24.8,4.7
274,Goure,0,NE,1546575969,51,13.98,10.27,57.79,10.22
275,Kiama,0,AU,1546574400,55,-34.67,150.86,87.8,11.41
276,Prince Rupert,90,CA,1546573260,80,54.32,-130.32,35.6,4.7
277,Viedma,0,AR,1546575971,68,-40.81,-62.99,53.96,2.95
278,Gladstone,0,AU,1546574400,45,-23.84,151.26,86.0,23.04
279,Jinchang,44,CN,1546575972,71,38.52,102.19,6.17,1.61
280,Vila,0,IT,1546573800,62,45.18,8.4,32.0,2.24
281,Saint-Augustin,0,FR,1546574400,86,44.83,-0.61,30.2,8.05
282,Los Llanos de Aridane,20,ES,1546574400,63,28.66,-17.92,62.6,8.05
283,Inhambane,80,MZ,1546575975,100,-23.87,35.38,74.97,5.75
284,Grootfontein,40,NA,1546574400,88,-19.56,18.1,68.0,4.7
285,Batemans Bay,0,AU,1546575976,51,-35.71,150.18,89.15,6.64
286,Kirovskiy,24,RU,1546575976,55,45.09,133.51,16.65,3.51
287,San Quintin,12,PH,1546575977,59,17.54,120.52,83.66,1.28
288,Tongzi,76,CN,1546575977,97,28.78,105.09,43.7,4.18
289,Iwaki,75,JP,1546570800,56,37.05,140.89,41.0,12.75
290,Kapuskasing,90,CA,1546574400,92,49.42,-82.43,26.6,9.17
291,Sept-Iles,20,CA,1546574460,83,50.2,-66.38,-9.41,4.7
292,Paita,8,PE,1546575979,80,-5.09,-81.11,71.42,6.42
293,Inuvik,90,CA,1546570800,84,68.36,-133.71,8.6,9.17
294,Desbiens,80,CA,1546575980,76,48.42,-71.95,11.25,4.97
295,Labuhan,44,ID,1546575981,74,-2.54,115.51,86.22,3.29
296,Gushikawa,40,JP,1546574160,55,26.35,127.87,73.22,10.29
297,Nizhniy Tsasuchey,0,RU,1546575982,51,50.52,115.13,-0.13,16.37
298,Temozon,0,MX,1546575982,71,20.8,-88.22,76.5,6.2
299,Cabinda,92,AO,1546575983,99,-5.56,12.19,80.06,3.18
300,Bambous Virieux,40,MU,1546574400,78,-20.34,57.76,82.4,10.29
301,Port Hardy,75,CA,1546574400,93,50.7,-127.42,42.8,5.82
302,Semypolky,90,UA,1546574400,92,50.72,30.95,28.4,4.47
303,Harnai,44,PK,1546575985,83,30.1,67.94,40.15,2.73
304,Nemuro,20,JP,1546570800,58,43.32,145.57,28.4,9.17
305,Agidel,76,RU,1546575986,85,55.9,53.94,14.45,7.76
306,Vardo,1,US,1546574400,66,39.62,-77.74,35.06,4.7
307,Meshchovsk,92,RU,1546575987,94,54.32,35.29,26.06,3.4
308,Manacapuru,0,BR,1546574400,100,-3.3,-60.62,75.2,2.17
309,Hasaki,20,JP,1546572600,34,35.73,140.83,48.2,5.82
310,Mount Gambier,90,AU,1546574400,68,-37.83,140.78,66.2,17.22
311,Chor,8,PK,1546575989,86,25.52,69.77,49.73,2.95
312,Tatarsk,76,RU,1546575990,65,55.22,75.96,-3.56,3.29
313,Pisco,90,PE,1546574400,83,-13.71,-76.2,71.6,11.41
314,Teahupoo,20,PF,1546572600,62,-17.83,-149.27,87.8,6.93
315,Makat,68,KZ,1546575991,88,47.65,53.35,15.49,10.33
316,Roebourne,0,AU,1546575992,38,-20.77,117.15,96.75,11.34
317,Ambon,0,FR,1546574400,92,47.55,-2.56,32.0,8.05
318,Lyngseidet,75,NO,1546573800,100,69.58,20.21,33.8,4.7
319,Macae,44,BR,1546575994,93,-22.37,-41.79,71.51,2.62
320,Zaozhuang,92,CN,1546575994,93,34.86,117.55,34.65,8.1
321,Mehamn,92,NO,1546575995,94,71.03,27.85,21.15,3.74
322,Vila Velha,75,BR,1546574400,78,-3.71,-38.6,82.4,13.87
323,Clovis,40,US,1546574100,63,36.83,-119.7,46.94,2.62
324,Sao Jose da Coroa Grande,44,BR,1546575996,99,-8.9,-35.15,75.11,4.74
325,Kathmandu,20,NP,1546573800,70,27.71,85.32,46.4,2.24
326,Kapit,24,MY,1546575997,81,2.02,112.94,83.66,2.17
327,Eufaula,90,US,1546574100,96,31.89,-85.15,66.02,5.08
328,Pangkalanbuun,12,ID,1546575998,86,-2.68,111.62,86.68,4.18
329,Adelaide,0,AU,1546574400,60,-34.93,138.6,73.4,27.51
330,Niquelandia,0,BR,1546575999,77,-14.47,-48.46,69.8,2.73
331,Tiarei,20,PF,1546572600,62,-17.53,-149.33,87.8,6.93
332,Golcuv Jenikov,0,CZ,1546574400,92,49.82,15.48,24.8,9.17
333,Natal,40,BR,1546574400,74,-5.81,-35.21,80.6,12.75
334,Shumyachi,88,RU,1546576001,94,53.86,32.43,28.45,6.53
335,Spokane,1,US,1546574160,59,47.66,-117.42,42.98,6.93
336,Kaitangata,92,NZ,1546576002,83,-46.28,169.85,56.21,16.82
337,Lerwick,75,GB,1546573800,87,60.15,-1.15,48.2,24.16
338,Puerto Madryn,76,AR,1546576003,55,-42.77,-65.04,68.94,4.41
339,Huarmey,0,PE,1546576004,92,-10.07,-78.15,60.53,3.4
340,Moranbah,0,AU,1546576004,42,-22.0,148.04,90.91,14.58
341,Toamasina,20,MG,1546574400,94,-18.17,49.38,78.8,2.24
342,Megion,90,RU,1546574400,92,61.04,76.11,15.8,13.42
343,Biak,76,ID,1546576006,76,-0.91,122.88,86.41,2.62
344,Pulivendla,0,IN,1546574400,69,14.42,78.23,75.2,4.7
345,Saldanha,0,PT,1546576008,74,41.42,-6.55,19.13,2.62
346,Sierra Vista,1,US,1546570680,74,31.55,-110.3,39.02,2.62
347,Falesti,0,MD,1546574400,73,47.57,27.71,21.2,8.05
348,Smithers,90,CA,1546570800,92,54.78,-127.17,24.8,3.36
349,Muros,0,ES,1546572600,100,42.77,-9.06,37.4,4.7
350,Guatire,88,VE,1546576011,95,10.47,-66.54,69.57,2.06
351,Borogontsy,48,RU,1546576012,38,62.67,131.17,-25.07,3.18
352,Deputatskiy,8,RU,1546576012,0,69.3,139.9,-23.72,5.08
353,Kavieng,68,PG,1546576013,100,-2.57,150.8,84.79,15.03
354,Moses Lake,1,US,1546573980,68,47.13,-119.28,44.96,12.75
355,Cairns,40,AU,1546574400,55,-16.92,145.77,89.6,16.11
356,Yichang,92,CN,1546576015,98,30.77,111.32,37.22,4.29
357,La Union,12,GT,1546576016,94,14.97,-89.29,64.0,1.95
358,Ponta Delgada,40,PT,1546574400,93,37.73,-25.67,64.4,10.29
359,San Marcos,20,GT,1546575874,95,14.97,-91.79,56.7,1.95
360,Ambovombe,56,MG,1546576017,97,-25.18,46.09,74.8,7.43
361,Makakilo City,1,US,1546574220,55,21.35,-158.09,78.08,8.05
362,Whitehorse,90,CA,1546570800,92,60.72,-135.06,14.0,6.93
363,Ulety,12,RU,1546576019,54,51.36,112.48,-7.11,10.0
364,Maumere,56,ID,1546576019,98,-8.63,122.22,82.08,12.24
365,De-Kastri,12,RU,1546576020,100,51.48,140.77,11.8,12.24
366,Sao Joao da Barra,64,BR,1546576020,100,-21.64,-41.05,76.91,25.32
367,Talcahuano,0,CL,1546574400,87,-36.72,-73.12,55.4,9.17
368,Sitka,0,US,1546576022,72,37.17,-99.65,24.4,7.99
369,Mandalgovi,0,MN,1546576022,53,45.76,106.27,-7.43,3.18
370,Fare,8,PF,1546576023,100,-16.7,-151.02,84.02,5.64
371,Alkhazurovo,90,RU,1546574400,75,43.06,45.65,33.8,2.24
372,Marsh Harbour,88,BS,1546576024,100,26.54,-77.06,75.25,11.12
373,Menongue,36,AO,1546576024,97,-14.66,17.68,60.57,2.39
374,Nenjiang,56,CN,1546576025,56,49.17,125.23,2.75,7.76
375,Leshukonskoye,68,RU,1546576025,87,64.9,45.76,15.31,3.06
376,Aden,92,YE,1546576026,100,12.79,45.03,76.1,12.68
377,Ulladulla,0,AU,1546574400,55,-35.36,150.48,87.8,11.41
378,Dolzhanskaya,92,RU,1546576027,100,46.63,37.8,27.63,16.49
379,Sechura,0,PE,1546576028,87,-5.56,-80.82,71.37,7.99
380,Jacksonville,1,US,1546575300,100,30.33,-81.66,69.08,4.07
381,Yarada,0,IN,1546572600,77,17.65,83.27,69.8,4.7
382,Margate,40,AU,1546574400,53,-43.03,147.26,75.2,17.22
383,Placido de Castro,12,BR,1546576030,92,-10.34,-67.19,77.0,2.06
384,Sistranda,75,NO,1546570200,100,63.73,8.83,44.6,25.28
385,Peace River,75,CA,1546570800,72,56.23,-117.29,15.8,9.17
386,Luderitz,24,NA,1546576031,87,-26.65,15.16,59.0,13.8
387,Campobasso,88,IT,1546576032,76,41.56,14.66,30.25,4.74
388,Gamovo,90,RU,1546574400,85,57.87,56.11,21.2,11.18
389,Tiznit,0,MA,1546576033,91,29.7,-9.73,46.76,5.19
390,Samarai,24,PG,1546576034,100,-10.62,150.67,82.81,24.87
391,Dibrugarh,75,IN,1546574400,87,27.48,94.9,60.8,5.82
392,Praia,0,BR,1546570800,83,-20.25,-43.81,73.4,2.24
393,Aviles,0,ES,1546572600,86,43.55,-5.92,37.4,4.7
394,San Cristobal,40,EC,1546574400,82,-0.39,-78.55,57.2,4.7
395,Rongcheng,56,CN,1546576037,59,37.16,122.42,38.66,4.85
396,Christchurch,12,NZ,1546572600,64,-43.53,172.64,68.0,17.22
397,Agadez,0,NE,1546576038,63,16.97,7.99,46.67,2.95
398,Norton,20,ZW,1546576039,99,-17.87,30.7,64.18,5.41
399,High Level,0,CA,1546576040,86,58.52,-117.13,19.22,4.63
400,Antonina,40,BR,1546574400,73,-25.43,-48.71,77.0,8.05
401,Geraldton,90,CA,1546573020,92,49.72,-86.95,30.2,10.29
402,Dubai,0,AE,1546570800,55,25.27,55.3,66.2,2.24
403,Ramanuj Ganj,0,IN,1546576042,71,23.81,83.7,54.19,4.74
404,Seydi,0,NE,1546576042,55,13.34,7.75,53.19,9.1
405,Fortuna,0,ES,1546572600,87,38.18,-1.13,42.8,10.29
406,Kalmunai,0,LK,1546576043,92,7.42,81.82,75.38,6.64
407,Ucluelet,92,CA,1546576044,100,48.94,-125.55,43.02,3.18
408,Pouembout,56,NC,1546576045,46,-21.12,164.9,83.57,8.43
409,Karlstad,24,SE,1546573800,74,59.38,13.5,35.6,6.93
410,Shelburne,90,CA,1546574400,88,44.08,-80.2,32.0,14.99
411,Pringsewu,48,ID,1546576046,74,-5.36,104.98,83.66,2.51
412,Ust-Kuyga,44,RU,1546576047,75,70.0,135.55,-17.68,3.18
413,Wencheng,92,CN,1546576048,100,27.79,120.09,49.46,2.84
414,Sidi Ali,0,DZ,1546576048,83,36.1,0.42,33.57,2.62
415,Jaslo,90,PL,1546572600,79,49.75,21.47,24.8,10.29
416,Rio Grande,12,BR,1546576049,97,-32.03,-52.1,68.0,9.33
417,Bambanglipuro,0,ID,1546576050,73,-7.95,110.28,84.47,5.3
418,Magadi,0,IN,1546574400,55,12.96,77.22,64.4,8.05
419,Waingapu,92,ID,1546576051,100,-9.65,120.26,76.01,11.9
420,Mogzon,12,RU,1546576052,54,51.74,111.97,-7.11,10.0
421,Tibati,12,CM,1546576052,37,6.47,12.63,67.5,7.65
422,Joutseno,90,FI,1546573800,92,61.11,28.48,8.6,3.36
423,Ahuimanu,75,US,1546574220,68,21.44,-157.84,78.08,13.87
424,El Paso,1,US,1546573860,69,31.76,-106.49,35.6,5.82
425,Isangel,20,VU,1546576054,100,-19.55,169.27,78.26,22.97
426,Saint Anthony,90,US,1546573980,84,43.97,-111.68,21.02,3.36
427,Cochrane,0,CL,1546575773,59,-47.25,-72.57,53.33,7.31
428,Kimbe,92,PG,1546576056,100,-5.56,150.15,77.45,10.0
429,Santa Maria,8,BR,1546576057,96,-29.69,-53.81,64.67,11.45
430,Karasburg,0,NA,1546576058,48,-28.01,18.75,62.65,5.97
431,Palu,68,ID,1546576059,61,-0.9,119.87,80.06,2.17
432,Sao Felix do Xingu,36,BR,1546576060,99,-6.64,-51.99,73.85,2.06
433,Llanes,0,ES,1546576060,52,43.42,-4.75,21.79,1.95
434,Benguela,20,AO,1546576060,100,-12.58,13.4,73.9,2.17
435,Acapulco,0,MX,1546576061,81,16.86,-99.88,72.95,5.3
436,Nome,90,US,1546575300,82,30.04,-94.42,46.04,9.17
437,Bembereke,0,BJ,1546576062,43,10.23,2.66,63.55,7.09
438,Morwell,0,AU,1546576063,18,-38.24,146.4,102.25,6.87
439,Cherskiy,68,RU,1546576063,79,68.75,161.3,-18.36,5.86
440,Araouane,0,ML,1546576064,47,18.9,-3.53,46.67,6.76
441,Zhigansk,56,RU,1546576064,75,66.77,123.37,-11.43,8.43
442,Te Anau,88,NZ,1546576065,54,-45.41,167.72,61.43,8.21
443,Chipurupalle,0,IN,1546576065,66,18.32,83.57,68.41,3.74
444,Wewak,56,PG,1546576066,78,-3.55,143.63,85.23,6.2
445,Sarankhola,0,BD,1546576067,67,22.31,89.79,67.95,5.41
446,Eirunepe,56,BR,1546576067,95,-6.66,-69.87,75.56,2.39
447,Chapeco,75,BR,1546570800,100,-27.1,-52.62,71.6,4.7
448,Mandurah,0,AU,1546574400,40,-32.55,115.7,73.4,18.34
449,Vuktyl,80,RU,1546576069,88,63.86,57.31,19.58,4.74
450,Yuli,0,NG,1546576070,54,10.52,9.86,53.65,5.19
451,Okakarara,36,NA,1546576070,96,-20.59,17.46,62.1,2.84
452,Leon,1,US,1546575300,80,40.74,-93.75,35.96,6.93
453,Qianan,0,CN,1546576071,46,44.99,124.06,13.91,15.82
454,Lindon,1,US,1546575300,85,40.34,-111.72,19.04,1.05
455,Veraval,0,FR,1546574400,86,49.65,0.71,37.4,5.82
456,Ambatondrazaka,68,MG,1546576073,97,-17.82,48.43,67.46,1.72
457,Ushibuka,0,JP,1546576074,94,32.19,130.02,51.17,1.72
458,Salalah,20,OM,1546570200,59,17.01,54.1,66.2,5.82
459,North Bend,20,US,1546570560,68,43.41,-124.22,51.98,17.22
460,Kaeo,0,NZ,1546576075,44,-35.1,173.78,78.57,17.38
461,Carmen,68,PH,1546576069,44,7.2,124.8,90.95,3.62
462,Dongsheng,92,CN,1546576076,100,29.72,112.52,41.05,8.55
463,Peniche,0,PT,1546574400,81,39.36,-9.38,42.8,5.82
464,Hamilton,40,BM,1546574100,88,32.3,-64.78,69.8,24.16
465,Miami Beach,1,US,1546575360,82,45.45,-84.56,35.24,12.75
466,Dhidhdhoo,0,MV,1546576079,100,6.88,73.1,82.4,10.33
467,Nara,20,JP,1546572600,57,34.68,135.8,48.2,3.36
468,Santiago de Cuba,20,CU,1546570560,83,20.03,-75.83,76.46,3.36
469,Hearst,92,CA,1546576081,88,49.69,-83.67,27.86,7.2
470,Adet,0,ET,1546576082,63,11.26,37.49,46.76,5.64
471,Besikduzu,0,TR,1546573800,66,41.05,39.23,53.6,4.7
472,San Patricio,12,PY,1546576083,97,-26.98,-56.83,77.27,2.17
473,Ouallam,0,NE,1546576083,38,14.32,2.08,58.23,12.68
474,Santiago de las Vegas,20,CU,1546570500,100,22.97,-82.39,68.0,3.62
475,Kenai,1,US,1546574160,87,60.55,-151.26,12.92,5.82
476,Souillac,0,FR,1546574400,69,45.6,-0.6,33.8,8.05
477,Russell,0,AR,1546576086,62,-33.01,-68.8,54.45,2.51
478,Nova Granada,75,BR,1546570800,78,-20.53,-49.32,75.2,6.93
479,Muroto,20,JP,1546570800,37,33.37,134.14,51.8,3.36
480,Bombay,90,US,1546573980,81,44.94,-74.57,30.92,8.05
481,Dondo,90,MZ,1546574400,94,-19.62,34.74,75.2,8.88
482,Borazjan,8,IR,1546572600,63,29.27,51.21,60.8,16.11
483,Victor Harbor,0,AU,1546574400,60,-35.55,138.62,73.4,27.51
484,Ixtapa,12,MX,1546576090,91,20.71,-105.21,59.5,1.39
485,Cockburn Town,88,TC,1546575874,99,21.46,-71.14,79.07,20.51
486,Guantanamo,20,BO,1546576092,86,-16.14,-62.05,77.05,3.06
487,Albion,1,US,1546574160,82,41.69,-98.0,35.96,3.36
488,Lujan,80,AR,1546576093,38,-46.57,-67.67,64.4,15.82
489,Rancho Palos Verdes,5,US,1546573980,76,33.75,-118.37,55.94,6.93
490,Yaan,32,NG,1546576094,48,7.38,8.57,67.77,4.74
491,Ullapool,92,GB,1546576094,100,57.9,-5.16,45.9,18.28
492,Nuuk,76,GL,1546573800,85,64.17,-51.74,17.6,11.41
493,Nova Bystrice,88,CZ,1546576095,87,49.02,15.1,22.73,9.33
494,Lakatoro,36,VU,1546576096,74,-16.11,167.42,84.65,10.0
495,Brae,92,GB,1546573800,93,60.4,-1.35,48.2,23.04
496,Goderich,24,CA,1546576097,86,43.74,-81.71,34.16,20.07
497,Shimoda,75,JP,1546572720,46,34.7,138.93,50.0,4.7
498,Cap Malheureux,40,MU,1546574400,78,-19.98,57.61,82.4,10.29
499,Asyut,0,EG,1546570800,81,27.18,31.19,44.6,6.93
500,Lazaro Cardenas,5,MX,1546570320,51,28.39,-105.62,35.6,3.36
501,Banda Aceh,8,ID,1546575903,69,5.56,95.32,83.21,3.62
502,Dawei,64,MM,1546576100,53,14.07,98.19,79.3,4.74
503,Kupang,75,ID,1546574400,89,-10.16,123.6,86.0,12.75
504,Rutana,32,BI,1546576101,100,-3.93,29.99,56.35,2.17
505,Tuy Hoa,80,VN,1546576102,100,13.08,109.3,75.56,13.24
506,Mogoytuy,12,RU,1546576102,41,51.28,114.93,-0.36,15.59
507,Umm Kaddadah,12,SD,1546576103,40,13.6,26.69,55.08,12.01
508,Shenzhen,75,CN,1546574400,82,22.54,114.05,68.0,6.71
509,Jumla,0,NP,1546576104,49,29.28,82.18,10.67,1.39
510,Felanitx,40,ES,1546572600,90,39.47,3.15,32.0,3.36
511,Lakes Entrance,0,AU,1546576105,37,-37.88,147.99,93.6,8.43
512,Blackfoot,90,US,1546573980,87,43.19,-112.35,14.0,5.82
513,Touros,20,BR,1546574400,83,-5.2,-35.46,78.8,4.7
514,Tromso,75,NO,1546575600,97,69.65,18.96,33.8,4.7
515,Brookhaven,1,US,1546575300,81,40.78,-72.92,39.92,4.85
516,Aswan,0,EG,1546576108,100,24.09,32.9,40.69,6.98
517,Mountain Home,90,US,1546573980,63,43.13,-115.69,30.92,12.75
518,Olinda,75,EC,1546574400,74,-2.03,-79.75,80.6,6.93
519,Yerbogachen,68,RU,1546576110,65,61.28,108.01,-8.91,8.32
520,Kudahuvadhoo,20,MV,1546576110,100,2.67,72.89,82.22,10.0
521,Ladario,0,PT,1546576111,69,40.7,-7.74,20.7,2.73
522,Vostochnyy,88,RU,1546574400,100,55.82,37.87,26.6,2.24
523,Kondinskoye,80,RU,1546576112,92,59.65,67.41,19.31,6.98
524,Tondano,75,ID,1546574400,94,1.3,124.91,75.2,4.7
525,Tuatapere,32,NZ,1546576113,84,-46.13,167.69,60.53,16.26
526,Kattivakkam,20,IN,1546572600,83,13.22,80.32,75.2,4.7
527,Bara,0,NG,1546576115,39,10.41,10.6,62.29,7.65
528,Chernoistochinsk,64,RU,1546576115,76,57.74,59.87,17.78,7.54
529,Kloulklubed,90,PW,1546573800,88,7.04,134.26,78.8,14.99
530,Pokhara,0,NP,1546576116,47,28.21,83.99,40.01,3.51
531,Haines Junction,8,CA,1546576117,67,60.75,-137.51,-7.52,2.06
532,Rock Sound,92,BS,1546576117,100,24.9,-76.2,76.55,11.56
533,Truro,48,GB,1546573800,75,50.26,-5.05,44.6,10.29
